WKT,LEVEL,h3_index,COMP_WALK_1,COMP_WALK_2,COMP_WALK_3,COMP_WALK_4,COMP_WALK_5,COMP_WALK_6
"POLYGON ((-3.76596854653326 40.3894567054066,-3.76679126828961 40.3891990908895,-3.76690823494231 40.3884958408202,-3.76620249265218 40.3880502110615,-3.76537978592949 40.3883078255642,-3.76526280646346 40.38901106984,-3.76596854653326 40.3894567054066))",10,8a390cba80f7fff,14.9039277868959,2.42777622885381,-0.327852704515282,-0.0875073323232319,1.40562784856479,-1.45202505684003
"POLYGON ((-3.76985241910295 40.3942402362796,-3.77067520865476 40.3939826099484,-3.77079214961616 40.3932793546417,-3.77008631384244 40.3928337314585,-3.76926353932562 40.3930913577743,-3.76914658554771 40.3937946072887,-3.76985241910295 40.3942402362796))",10,8a390cba8107fff,11.8000279107183,1.46674263812676,-0.34488722151805,0.439519834260611,1.85864593672235,-1.33454304555767
"POLYGON ((-3.77044132035499 40.3953891144891,-3.77126412494216 40.3951314881424,-3.77138106268339 40.394428232976,-3.77067520865476 40.3939826099484,-3.76985241910295 40.3942402362796,-3.76973546854458 40.3949434856538,-3.77044132035499 40.3953891144891))",10,8a390cba8127fff,7.92582837345382,0.779581844625121,-0.634026498962244,0.743490994882436,2.36061272631186,-1.10631894963571
"POLYGON ((-3.76891267161432 40.3952011002446,-3.76973546854458 40.3949434856538,-3.76985241910295 40.3942402362796,-3.76914658554771 40.3937946072887,-3.76832380365298 40.3940522218645,-3.76820684027814 40.3947554654462,-3.76891267161432 40.3952011002446))",10,8a390cba812ffff,10.8617263135144,1.36643251450146,0.481824835869851,-0.130383796643284,2.05784234977353,-1.04535921478626
"POLYGON ((-3.77138106268339 40.394428232976,-3.77220385989126 40.394170594889,-3.77232078803549 40.3934673337902,-3.7716149317892 40.3930217165704,-3.77079214961616 40.3932793546417,-3.77067520865476 40.3939826099484,-3.77138106268339 40.394428232976))",10,8a390cba8137fff,11.8734816666532,1.32700235635302,-0.623640265777559,0.949516743402681,3.06930608144362,-1.54201790292474
"POLYGON ((-3.76585545853087 40.3948250186008,-3.76667824014423 40.3945674275206,-3.76679521633489 40.3938641897318,-3.76608942372754 40.3934185488165,-3.76526665715007 40.3936761398826,-3.76514966814423 40.3943793718782,-3.76585545853087 40.3948250186008))",10,8a390cba8147fff,12.2573341763936,1.68294574293959,-0.603272532682246,0.262802604675874,1.57540800057919,-1.25294524982654
"POLYGON ((-3.76432689419088 40.3946369512037,-3.76514966814423 40.3943793718782,-3.76526665715007 40.3936761398826,-3.76456088501721 40.3932304930062,-3.7637381260999 40.3934880723181,-3.76362112427957 40.39419129852,-3.76432689419088 40.3946369512037))",10,8a390cba814ffff,13.4105245974975,1.85556430981573,0.349842897817101,-0.237401083618804,1.69911572056124,-0.951431618662647
"POLYGON ((-3.76679521633489 40.3938641897318,-3.7676179905715 40.393606586911,-3.76773495716525 40.3929033431894,-3.76702916233776 40.3924577080815,-3.76620640313648 40.3927153108879,-3.76608942372754 40.3934185488165,-3.76679521633489 40.3938641897318))",10,8a390cba8157fff,11.0882080649449,1.54731894300843,-0.415540576702028,0.172686489082051,1.59485774131312,-1.15995138534221
"POLYGON ((-3.76526665715007 40.3936761398826,-3.76608942372754 40.3934185488165,-3.76620640313648 40.3927153108879,-3.76550062878265 40.3922696698188,-3.76467787724068 40.392527260871,-3.76456088501721 40.3932304930062,-3.76526665715007 40.3936761398826))",10,8a390cba815ffff,12.5979497193581,1.72770174637697,-0.572480769912637,0.261678100249659,1.51461110088356,-1.21614927565736
"POLYGON ((-3.76644428138418 40.3959738970244,-3.76726707803379 40.3957163059299,-3.76738405100582 40.3950130682815,-3.76667824014423 40.3945674275206,-3.76585545853087 40.3948250186008,-3.76573847274305 40.3955282504562,-3.76644428138418 40.3959738970244))",10,8a390cba8167fff,11.8691713877281,1.56124127109462,-0.500566393027367,0.360429523900185,1.85322194344813,-1.36381004246759
"POLYGON ((-3.59200687681627 40.4550672136005,-3.59282969829164 40.4548113028634,-3.59294826162451 40.4541089072522,-3.59224401625074 40.4536624282062,-3.59142120986385 40.4539183389836,-3.59130263376242 40.4546207287666,-3.59200687681627 40.4550672136005))",10,8a390cb53537fff,2.06979442748494,0.399487382234894,-0.252026530979013,0.367376598070807,0.0653258552093913,1.16396010199759
"POLYGON ((-3.5832008975126 40.4518163578784,-3.58402364983005 40.4515605057138,-3.58414228329995 40.4508581389367,-3.58343817721657 40.4504116301546,-3.58261543998768 40.4506674823619,-3.58249679375378 40.4513698433087,-3.5832008975126 40.4518163578784))",10,8a390cb5345ffff,-0.485402665694469,0.151025545847924,-0.734685687327119,-0.0292450741929476,-0.0398992643604393,0.803675850399729
"POLYGON ((-3.71319069049169 40.3506608588199,-3.71401278487238 40.350403514595,-3.71413014202023 40.3497003941375,-3.71342541756688 40.3492546237123,-3.71260333821246 40.3495119679368,-3.71248596828528 40.3502150825869,-3.71319069049169 40.3506608588199))",10,8a390cb89947fff,8.59019175961615,3.66313426701383,-0.876611351917936,-1.01395804820423,2.8356795773498,-0.823523288232651
"POLYGON ((-3.58531328639354 40.453155889564,-3.58613606159807 40.4529000257116,-3.58625467915244 40.4521976532596,-3.58555053426774 40.4517511504895,-3.58472777415199 40.452007014384,-3.58460914383234 40.4527093810064,-3.58531328639354 40.453155889564))",10,8a390cb53477fff,-0.522007527671908,0.146681811679183,-0.657462675102942,-0.0333949515598211,-0.0527398146046569,0.767492571716405
"POLYGON ((-3.7117808140387 40.345104828772,-3.71260284097909 40.3448474728183,-3.71272020131325 40.3441443459827,-3.71201554748402 40.3436985809089,-3.71119353556785 40.3439559368625,-3.71107616245686 40.34465905789,-3.7117808140387 40.345104828772))",10,8a390cb898c7fff,7.52135116614311,3.94429058871266,-0.31090384357475,-1.68754360095015,2.70485310842026,-0.530375561298187
"POLYGON ((-3.58414228329995 40.4508581389367,-3.58496502832731 40.450602275,-3.58508365218309 40.4498999022388,-3.58437954377572 40.4494533992444,-3.58355681383638 40.4497092632234,-3.58343817721657 40.4504116301546,-3.58414228329995 40.4508581389367))",10,8a390cb534effff,-0.621705724320068,0.126300407008174,-0.720944322927807,-0.0437280065606068,-0.0233528597623634,0.80197234227477
"POLYGON ((-3.71025414320377 40.3449164021147,-3.71107616245686 40.34465905789,-3.71119353556785 40.3439559368625,-3.71048890220211 40.3435101658681,-3.70966689797341 40.3437675100931,-3.70954951208623 40.3444706253122,-3.71025414320377 40.3449164021147))",10,8a390cb898cffff,7.564511400626,4.07322562298147,-1.14639068013481,-1.33633395243162,2.56626857466723,-0.833783748694803
"POLYGON ((-3.59047982008092 40.4548766277715,-3.59130263376242 40.4546207287666,-3.59142120986385 40.4539183389836,-3.59071698505188 40.4534718540339,-3.58989418645905 40.4537277530794,-3.58977559758972 40.454430137034,-3.59047982008092 40.4548766277715))",10,8a390cb53507fff,2.22223452382891,0.453390883023104,-0.209068477366873,0.342754834601935,0.035476327088954,1.08402944359704
"POLYGON ((-3.71272020131325 40.3441443459827,-3.71354222091586 40.3438869783002,-3.7136595716654 40.3431838455443,-3.71295491558936 40.3427380862788,-3.71213291101043 40.3429954539608,-3.71201554748402 40.3436985809089,-3.71272020131325 40.3441443459827))",10,8a390cb898d7fff,5.16726300189793,3.90917467374989,0.104678642968765,-2.48401664965918,0.837433346836077,-1.38215417394769
