WKT,LEVEL,h3_index,COMP_CAR_1,COMP_CAR_2,COMP_CAR_3,COMP_CAR_4,COMP_CAR_5,COMP_CAR_6,COMP_CAR_7
"POLYGON ((-3.65641107731199 40.4523263643303,-3.65817513324944 40.4511107855017,-3.65770612083808 40.4492592411896,-3.6554731662489 40.4486232932529,-3.65370916696509 40.4498388431782,-3.65417806561625 40.4516903699423,-3.65641107731199 40.4523263643303))",9,89390ca24afffff,0.875569446517748,2.12253934624502,-0.114542375727815,-0.406041808370402,-0.311193955216576,-0.490576237890109,0.622332417382721
"POLYGON ((-3.661815640137 40.4573013485694,-3.6635798093671 40.4560857119283,-3.6631106062175 40.4542341580774,-3.66087734761485 40.4535982584029,-3.65911323502863 40.4548138661368,-3.65958232440058 40.4566654024512,-3.661815640137 40.4573013485694))",9,89390ca24b3ffff,0.819591831692816,2.20600004229079,-0.127359690392321,-0.520771625630491,-0.0665245236946546,-0.462722849344151,0.459917475643037
"POLYGON ((-3.65781813628331 40.4578809509609,-3.65958232440058 40.4566654024512,-3.65911323502863 40.4548138661368,-3.65688007131683 40.4541778958761,-3.65511593985728 40.4553934154842,-3.65558491545123 40.4572449342534,-3.65781813628331 40.4578809509609))",9,89390ca24b7ffff,0.87917211690586,2.06226926470387,-0.109662268799238,-0.432596036623365,-0.215382393109429,-0.521283692483864,0.605666247786201
"POLYGON ((-3.6631106062175 40.4542341580774,-3.66487469991216 40.4530184622182,-3.66440547836978 40.4511668955964,-3.66217227690076 40.4505310423663,-3.66040823984107 40.4517467093148,-3.66087734761485 40.4535982584029,-3.6631106062175 40.4542341580774))",9,89390ca24bbffff,0.74982250383421,2.2851415825499,-0.154669101927188,-0.58913207281275,-0.0138013282112796,-0.537063692944673,-0.188187201839273
"POLYGON ((-3.67639764958607 40.4494265021486,-3.6781616109526 40.4482104827262,-3.67769202974517 40.4463588508032,-3.67545860092917 40.4457232558064,-3.67369469614727 40.446939246298,-3.67416416359615 40.4487908607161,-3.67639764958607 40.4494265021486))",9,89390ca24c3ffff,0.511689458238193,2.7950942378068,-0.237018341509862,-0.841475148736265,0.136274169189455,-0.259376307475714,-2.44707522770622
"POLYGON ((-3.672400183279 40.4500067920208,-3.67416416359615 40.4487908607161,-3.67369469614727 40.446939246298,-3.67146136213954 40.4463035806971,-3.66969743842086 40.4475194830765,-3.67016679211086 40.4493710799811,-3.672400183279 40.4500067920208))",9,89390ca24c7ffff,0.535214307072968,2.73045688530449,-0.228639945825923,-0.815818926179575,0.104076081355593,-0.344119536922276,-2.20250934601521
"POLYGON ((-3.67769202974517 40.4463588508032,-3.67945591557206 40.4451427721999,-3.67898631600779 40.4432911275353,-3.67675294436554 40.4426555789749,-3.67498911511438 40.4438716286438,-3.67545860092917 40.4457232558064,-3.67769202974517 40.4463588508032))",9,89390ca24cbffff,0.470369109393858,2.88186932568504,-0.247479583401192,-0.909375685880953,0.123985732150474,-0.0732164402690212,-2.746698902874
"POLYGON ((-3.67369469614727 40.446939246298,-3.67545860092917 40.4457232558064,-3.67498911511438 40.4438716286438,-3.67275583826695 40.4432360094824,-3.6709919900746 40.4444519710452,-3.67146136213954 40.4463035806971,-3.67369469614727 40.446939246298))",9,89390ca24cfffff,0.500968038801198,2.84235998033314,-0.108668503078508,-0.876303044821278,0.0570453858444117,-0.329393184377943,-2.52062487095541
"POLYGON ((-3.67910085041289 40.4519137385688,-3.6808648683592 40.4506976902137,-3.68039519174572 40.4488460535434,-3.6781616109526 40.4482104827262,-3.67639764958607 40.4494265021486,-3.67686721243228 40.4512781213197,-3.67910085041289 40.4519137385688))",9,89390ca24d3ffff,0.524938611017779,2.68277381736965,-0.232922515474266,-0.807658564006959,0.258915018967147,-0.0933872744406532,-2.34310865312922
"POLYGON ((-3.62983774035579 40.4619337239317,-3.63160206017315 40.4607187923562,-3.63113376725376 40.4588673790389,-3.62890126829656 40.4582309149015,-3.6271370052334 40.4594458176137,-3.62760518437263 40.4612972133255,-3.62983774035579 40.4619337239317))",9,89390ca25b7ffff,1.13957502699453,1.74118389195186,-0.0172204396981002,0.129804894664999,-0.744775465205526,-0.491646063063833,1.90092962396737
"POLYGON ((-3.68039519174572 40.4488460535434,-3.68215913414345 40.4476299460039,-3.68168943917781 40.4457782965845,-3.67945591557206 40.4451427721999,-3.67769202974517 40.4463588508032,-3.6781616109526 40.4482104827262,-3.68039519174572 40.4488460535434))",9,89390ca24dbffff,0.501719817921064,2.83920822735795,-0.241607573314773,-0.801933548271692,0.155544354138142,-0.0215466791573229,-2.58237571943881
"POLYGON ((-3.63772211239238 40.4521556644218,-3.63948618695001 40.4509404669594,-3.63901772489541 40.449088997703,-3.6367853020353 40.4484527434962,-3.6350212841913 40.4496679120792,-3.6354896324932 40.4515193637474,-3.63772211239238 40.4521556644218))",9,89390ca2503ffff,1.09479747602987,1.77344313466576,0.113388522860488,0.115150605627465,-0.812767838405834,-0.755832689774733,1.70363788606507
"POLYGON ((-3.63372553916262 40.4527344730929,-3.6354896324932 40.4515193637474,-3.6350212841913 40.4496679120792,-3.63278895631127 40.4490315873522,-3.63102491970811 40.4502466678237,-3.63149315425698 40.4520981018951,-3.63372553916262 40.4527344730929))",9,89390ca2507ffff,1.09365820853723,1.77871721014433,-0.0204757079060173,0.0860389598652122,-0.808232031426638,-0.760806646298218,1.71966773342971
"POLYGON ((-3.63901772489541 40.449088997703,-3.64078172396204 40.447873741009,-3.64031324346442 40.4460222589924,-3.63808087764327 40.445386051254,-3.63631693528136 40.446601279065,-3.6367853020353 40.4484527434962,-3.63901772489541 40.449088997703))",9,89390ca250bffff,1.09438909922638,1.86185820309853,0.116052266350242,0.0408990833700075,-0.932987376282904,-0.814154923133469,1.87094515717303
"POLYGON ((-3.6350212841913 40.4496679120792,-3.6367853020353 40.4484527434962,-3.63631693528136 40.446601279065,-3.63408466442678 40.4459650008095,-3.63232070330128 40.4471801405149,-3.63278895631127 40.4490315873522,-3.6350212841913 40.4496679120792))",9,89390ca250fffff,1.10363487676928,1.87673175575035,0.11484491496099,0.0448431330074193,-0.943312524614971,-0.77826210321577,1.93821569152217
"POLYGON ((-3.64042318792648 40.4546433975147,-3.64218731919289 40.4534281711708,-3.64171876182423 40.4515766971024,-3.63948618695001 40.4509404669594,-3.63772211239238 40.4521556644218,-3.63819055599959 40.4540071209077,-3.64042318792648 40.4546433975147))",9,89390ca2513ffff,1.10343046934865,1.74038578549309,0.120314841788067,0.104104021288732,-1.06542182061219,-1.04248652266179,1.69796919876275
"POLYGON ((-3.63642640594645 40.4552222591292,-3.63819055599959 40.4540071209077,-3.63772211239238 40.4521556644218,-3.6354896324932 40.4515193637474,-3.63372553916262 40.4527344730929,-3.63419386900807 40.4545859119876,-3.63642640594645 40.4552222591292))",9,89390ca2517ffff,1.14830049677609,1.60210928472138,0.135003012220346,0.136975282694282,-1.11947066992769,-0.980424237557823,1.79750690918337
"POLYGON ((-3.64171876182423 40.4515766971024,-3.64348281759071 40.4503614115235,-3.6430142417837 40.4485099246875,-3.64078172396204 40.447873741009,-3.63901772489541 40.449088997703,-3.63948618695001 40.4509404669594,-3.64171876182423 40.4515766971024))",9,89390ca251bffff,1.04819772817376,1.89273450272724,0.103704088928902,0.0869756228102394,-0.604379453745262,-0.833758742378828,1.55074502788599
"POLYGON ((-3.62832454756091 40.4477588433499,-3.63008852743181 40.4465437917505,-3.62962036970033 40.4446923497571,-3.62738834583288 40.4440559769702,-3.62562442269908 40.4452709996994,-3.62609246669504 40.4471224240845,-3.62832454756091 40.4477588433499))",9,89390ca252bffff,1.13091805217241,1.69838595568808,0.138269857096634,-0.0167734692809585,-0.930414134177297,-0.78816715310494,1.73518247219342
"POLYGON ((-3.62432846809693 40.4483373875773,-3.62609246669504 40.4471224240845,-3.62562442269908 40.4452709996994,-3.62339249384023 40.4446345564228,-3.62162855199299 40.445849491051,-3.62209648225314 40.4477008978193,-3.62432846809693 40.4483373875773))",9,89390ca252fffff,1.13106674263553,1.65714795604224,0.114443042235654,-0.180506779127342,-0.884701909658202,-0.819977850517079,1.61537970586
"POLYGON ((-3.62573262145618 40.4538916145199,-3.62749675227805 40.45267668141,-3.62702863148249 40.4508252649441,-3.62479649361808 40.450188799201,-3.62303241955117 40.4514037034479,-3.62350042659313 40.4532551022997,-3.62573262145618 40.4538916145199))",9,89390ca2537ffff,1.11318626249581,1.67177792834454,-0.0354503734540453,0.0217359043566942,-0.745383600672095,-0.635432030363155,1.62409048684566
"POLYGON ((-3.63102491970811 40.4502466678237,-3.63278895631127 40.4490315873522,-3.63232070330128 40.4471801405149,-3.63008852743181 40.4465437917505,-3.62832454756091 40.4477588433499,-3.62879268682662 40.4496102725847,-3.63102491970811 40.4502466678237))",9,89390ca253bffff,1.12381816599668,1.76795088864797,0.127348218267357,-0.0132044505662377,-0.959239476821522,-0.835006711053869,1.83150005433649
