WKT,GEOCODE_9,TOTALVIEWS,LEADS,WALK_TRANSPORT_METRO,WALK_TRANSPORT_TRAIN,CAR_TRANSPORT_TRAIN,WALK_TRANSPORT_BUS,AVG_UNITPRICE,MED_UNITPRICE,MED_PRICE,N,STD_TRANSPORT_TRAIN,STD_TRANSPORT_METRO,STD_TRANSPORT_BUS,STD_TRANSPORT_COMMUTING_ALL,STD_TRANSPORT_COMMUTING_RAILWAY,h3_index
"POLYGON ((-3.92080942151259 40.2780769762904,-3.9225689366127 40.2768541461514,-3.92209328448973 40.2750011368577,-3.9198582305781 40.2743709746731,-3.918098771009 40.2755937754639,-3.91857430981988 40.2774467677864,-3.92080942151259 40.2780769762904))","617996734172495871",347,0.666666666666667,0,0,104.284818557627,0,1606.66666666667,1521.73913043478,204000,"3",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c164b3ffff
"POLYGON ((-3.9168147747296 40.2786695101238,-3.91857430981988 40.2774467677864,-3.918098771009 40.2755937754639,-3.91586381041981 40.2749635424578,-3.91410433087441 40.2761862554524,-3.91457975637268 40.2780392307949,-3.9168147747296 40.2786695101238))","617996734172758015",661.133333333333,12.5777777777778,0,0,103.912003232114,0,1871.51048815446,1799,179900,"45",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c164b7ffff
"POLYGON ((-3.92209328448973 40.2750011368577,-3.9238527240644 40.2737782482715,-3.9233770542059 40.2719252268536,-3.92114205807509 40.2712951109892,-3.91938267402259 40.2725179702236,-3.9198582305781 40.2743709746731,-3.92209328448973 40.2750011368577))","617996734173020159",267.555555555556,4.55555555555556,0,0,104.492942475362,0,1785.03289367411,1783.2,187000,"45",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c164bbffff
"POLYGON ((-3.90198073240998 40.269328533733,-3.90374006520705 40.2681059965361,-3.90326502183058 40.2662530406952,-3.90103075893541 40.2656226390616,-3.89927148171725 40.2668451469285,-3.89974641181471 40.2686980857578,-3.90198073240998 40.269328533733))","617996734183243775",321.75,0.25,0,0,101.935764708455,0,1791.66666666667,1800,270000,"4",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c16557ffff
"POLYGON ((-3.90739997359117 40.274295248712,-3.90915941753096 40.2730726528498,-3.90868418312017 40.2712196872318,-3.90644961806504 40.2705893344749,-3.90469022969409 40.2718119010035,-3.9051653508088 40.2736648496215,-3.90739997359117 40.274295248712))","617996734190321663",360.87037037037,8.14814814814815,0,0,103.322538898937,0,1676.21586586726,1658.33333333333,203700,"54",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c165c3ffff
"POLYGON ((-3.90469022969409 40.2718119010035,-3.90644961806504 40.2705893344749,-3.90597447917807 40.2687363737389,-3.90374006520705 40.2681059965361,-3.90198073240998 40.269328533733,-3.90245575800941 40.2711814774632,-3.90469022969409 40.2718119010035))","617996734191108095",909.25,27.5,0,0,103.240636745361,0,1593.45643939394,1566.66666666667,221500,"4",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c165cfffff
"POLYGON ((-3.91139413367844 40.2737029811457,-3.91315355767392 40.272480297492,-3.9126782099676 40.2706273148825,-3.91044355156068 40.2699970329171,-3.90868418312017 40.2712196872318,-3.90915941753096 40.2730726528498,-3.91139413367844 40.2737029811457))","617996734191894527",224,2,0,0,103.322538898937,0,1894.11764705882,1894.11764705882,161000,"1",-0.644054158589951,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.644054158589951,89390c165dbffff
"POLYGON ((-3.83099570472921 40.2509911938809,-3.83275469787556 40.249769914938,-3.83228185402992 40.2479171970042,-3.83005013023623 40.247285775176,-3.82829119287096 40.2485070248673,-3.82876392351767 40.2503597256373,-3.83099570472921 40.2509911938809))","617996734236721151",188.704545454545,3.02272727272727,0,2.77039353462224,104.311664096263,0,1870.19713629826,1766.49038461538,157000,"44",-0.0753736678092917,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.0753736678092917,89390c16887ffff
"POLYGON ((-3.83370046292703 40.2534753438278,-3.83545951184949 40.2522540356315,-3.83498657272033 40.250401312608,-3.83275469787556 40.249769914938,-3.83099570472921 40.2509911938809,-3.83146853065088 40.2528438997461,-3.83370046292703 40.2534753438278))","617996734237769727",144.397058823529,1.77941176470588,0,2.80456732548064,105.037448689478,0,1581.21436569533,1597.72727272727,125000,"68",-0.0683587914336731,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.0683587914336731,89390c16897ffff
"POLYGON ((-3.82430060580334 40.2490966944382,-3.82605956271575 40.2478755324765,-3.82558692733071 40.2460228368149,-3.82335544822348 40.2453913202922,-3.82159654711093 40.2466124530095,-3.82206906930515 40.2484651314929,-3.82430060580334 40.2490966944382))","617996734238556159",221.5625,2.5,0,2.71451225410788,104.393038740574,0,1614.81096660458,1508.24175824176,158625,"16",-0.0868444547683339,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.0868444547683339,89390c168a3ffff
"POLYGON ((-3.8270049108104 40.251580916845,-3.82876392351767 40.2503597256373,-3.82829119287096 40.2485070248673,-3.82605956271575 40.2478755324765,-3.82430060580334 40.2490966944382,-3.82477322325066 40.2509493780356,-3.8270049108104 40.251580916845))","617996734239604735",236.291338582677,3.69291338582677,0,2.71889575078171,104.393038740574,0,1692.46393426777,1736.95652173913,179000,"127",-0.0859446515423089,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.0859446515423089,89390c168b3ffff
"POLYGON ((-3.82301419100054 40.2521704815077,-3.82477322325066 40.2509493780356,-3.82430060580334 40.2490966944382,-3.82206906930515 40.2484651314929,-3.82031009286371 40.2496862057242,-3.82078259711116 40.2515388721405,-3.82301419100054 40.2521704815077))","617996734239866879",194.181818181818,3.42424242424242,0,2.84525336323582,104.706500075283,0,1923.39466651838,1979.16666666667,194500,"33",-0.0600071418830275,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.0600071418830275,89390c168b7ffff
"POLYGON ((-3.82829119287096 40.2485070248673,-3.83005013023623 40.247285775176,-3.82957738166085 40.2454330623447,-3.82734580890993 40.2448016163733,-3.82558692733071 40.2460228368149,-3.82605956271575 40.2478755324765,-3.82829119287096 40.2485070248673))","617996734240129023",19,2,0,2.71451225410788,103.618822907897,0,1337.20930232558,1337.20930232558,115000,"1",-0.0868444547683339,-0.722960290211499,-0.621810491903458,-0.621810491903458,-0.0868444547683339,89390c168bbffff
